Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
eager,exponential,0.0,40,0,RESHIV3,22.74,0, 3, 1, 5, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=5; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=2; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.0,40,0,RESHIMAX,20.379999999999995,0, 5, 3, 4, 0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=3; c5a.xlarge=4; d3.2xlarge=0; d3.xlarge=5; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=3; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.0,40,0,RESHIFCFS,20.38,0, 3, 2, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=2; c5a.xlarge=3; d3.2xlarge=0; d3.xlarge=3; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=3; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=6; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.0,40,1,MINMIN,23.389999999999997,0, 3, 1, 3, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 10, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=3; d3.2xlarge=0; d3.xlarge=1; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=2; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=10; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=1; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.0,40,1,MAXMIN,19.199999999999996,3, 1, 3, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 4,{c5.2xlarge=3; c5.xlarge=1; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=4}
eager,exponential,0.0,40,1,MCT,19.199999999999996,2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 8, 0, 3, 0, 0, 0, 0, 0, 3, 4,{c5.2xlarge=2; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=2; m5zn.xlarge=8; r5.2xlarge=0; r5.large=3; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=4}
eager,exponential,0.0,40,1,ROUNDROBIN,25.299999999999997,0, 0, 1, 0, 0, 2, 3, 0, 0, 2, 0, 0, 0, 6, 0, 0, 3, 2, 0, 0, 0, 0, 4, 0, 0, 2, 2,{c5.2xlarge=0; c5.xlarge=0; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=2; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=2; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=6; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=2; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=2}
eager,exponential,0.0,40,1,STATIC,19.2,4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 3, 4,{c5.2xlarge=4; c5.xlarge=1; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=0; m5.large=1; m5.xlarge=0; m5a.2xlarge=0; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=1; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=4}
eager,exponential,0.0,40,1,NOML,23.389999999999997,2, 3, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1, 5, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 2, 4,{c5.2xlarge=2; c5.xlarge=3; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=4; m5.large=1; m5.xlarge=0; m5a.2xlarge=1; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=1; m5zn.xlarge=3; r5.2xlarge=0; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=4}
eager,exponential,0.0,40,1,CUSTOMCLUSTERNOML,20.749999999999996,0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0, 0, 0, 0, 0, 0, 0, 4,{c5.2xlarge=0; c5.xlarge=0; c5a.2xlarge=0; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=0; i3.large=2; i3.xlarge=0; m5.2xlarge=8; m5.large=0; m5.xlarge=0; m5a.2xlarge=0; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=7; r5.large=0; r5.xlarge=0; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=4}
