Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.2,40,0,MINMIN,3122.9099999999944,0, 57, 81, 42, 74, 56, 20, 24, 0, 51, 23, 80, 54, 0, 48, 78, 0, 28, 0, 25, 47, 69, 66, 48, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=81; c5a.xlarge=42; d3.2xlarge=74; d3.xlarge=56; i3.2xlarge=20; i3.large=24; i3.xlarge=0; m5.2xlarge=51; m5.large=23; m5.xlarge=80; m5a.2xlarge=54; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=78; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=25; r5.xlarge=47; r5a.2xlarge=69; r5a.large=66; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,MAXMIN,3108.299999999994,0, 52, 83, 52, 72, 50, 21, 29, 0, 51, 22, 78, 46, 0, 50, 80, 0, 25, 0, 28, 47, 69, 74, 41, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=52; c5a.2xlarge=83; c5a.xlarge=52; d3.2xlarge=72; d3.xlarge=50; i3.2xlarge=21; i3.large=29; i3.xlarge=0; m5.2xlarge=51; m5.large=22; m5.xlarge=78; m5a.2xlarge=46; m5a.large=0; m5a.xlarge=50; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=25; r5.2xlarge=0; r5.large=28; r5.xlarge=47; r5a.2xlarge=69; r5a.large=74; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,MCT,3097.6099999999947,0, 51, 80, 57, 72, 55, 28, 23, 0, 47, 26, 77, 44, 0, 41, 82, 0, 32, 0, 24, 47, 69, 69, 52, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=51; c5a.2xlarge=80; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=55; i3.2xlarge=28; i3.large=23; i3.xlarge=0; m5.2xlarge=47; m5.large=26; m5.xlarge=77; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=24; r5.xlarge=47; r5a.2xlarge=69; r5a.large=69; r5a.xlarge=52; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,ROUNDROBIN,3103.689999999995,0, 50, 92, 68, 87, 56, 34, 13, 0, 36, 34, 32, 68, 0, 39, 82, 0, 18, 0, 34, 50, 62, 102, 42, 0, 0, 1,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=92; c5a.xlarge=68; d3.2xlarge=87; d3.xlarge=56; i3.2xlarge=34; i3.large=13; i3.xlarge=0; m5.2xlarge=36; m5.large=34; m5.xlarge=32; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=34; r5.xlarge=50; r5a.2xlarge=62; r5a.large=102; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,STATIC,4721.3099999999895,0, 54, 93, 57, 73, 50, 27, 30, 0, 46, 19, 67, 44, 0, 41, 95, 0, 28, 0, 22, 47, 70, 66, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=93; c5a.xlarge=57; d3.2xlarge=73; d3.xlarge=50; i3.2xlarge=27; i3.large=30; i3.xlarge=0; m5.2xlarge=46; m5.large=19; m5.xlarge=67; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=95; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=22; r5.xlarge=47; r5a.2xlarge=70; r5a.large=66; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,NOML,3100.1999999999944,0, 66, 81, 65, 46, 41, 22, 21, 0, 51, 31, 79, 49, 0, 48, 76, 0, 30, 0, 32, 50, 67, 62, 53, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=66; c5a.2xlarge=81; c5a.xlarge=65; d3.2xlarge=46; d3.xlarge=41; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=31; m5.xlarge=79; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=76; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=32; r5.xlarge=50; r5a.2xlarge=67; r5a.large=62; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,CUSTOMCLUSTERNOML,2827.6599999999944,0, 58, 74, 53, 77, 61, 30, 27, 0, 53, 27, 80, 40, 0, 42, 82, 0, 33, 0, 23, 57, 54, 58, 41, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=74; c5a.xlarge=53; d3.2xlarge=77; d3.xlarge=61; i3.2xlarge=30; i3.large=27; i3.xlarge=0; m5.2xlarge=53; m5.large=27; m5.xlarge=80; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=23; r5.xlarge=57; r5a.2xlarge=54; r5a.large=58; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,TEXTDISTANCE,2839.9799999999946,0, 50, 71, 55, 68, 53, 21, 31, 0, 54, 37, 74, 43, 0, 49, 70, 0, 28, 0, 32, 47, 67, 70, 48, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=71; c5a.xlarge=55; d3.2xlarge=68; d3.xlarge=53; i3.2xlarge=21; i3.large=31; i3.xlarge=0; m5.2xlarge=54; m5.large=37; m5.xlarge=74; m5a.2xlarge=43; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=32; r5.xlarge=47; r5a.2xlarge=67; r5a.large=70; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,CRITICALPATH,2761.949999999995,0, 59, 77, 61, 77, 50, 19, 26, 0, 58, 30, 75, 34, 0, 41, 85, 0, 35, 0, 31, 59, 41, 67, 43, 0, 0, 32,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=77; c5a.xlarge=61; d3.2xlarge=77; d3.xlarge=50; i3.2xlarge=19; i3.large=26; i3.xlarge=0; m5.2xlarge=58; m5.large=30; m5.xlarge=75; m5a.2xlarge=34; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=31; r5.xlarge=59; r5a.2xlarge=41; r5a.large=67; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=32},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,CRITICALPATHREVERSE,2762.1299999999956,0, 58, 79, 59, 66, 60, 22, 30, 0, 50, 31, 71, 41, 0, 44, 82, 0, 28, 0, 30, 55, 57, 64, 44, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=79; c5a.xlarge=59; d3.2xlarge=66; d3.xlarge=60; i3.2xlarge=22; i3.large=30; i3.xlarge=0; m5.2xlarge=50; m5.large=31; m5.xlarge=71; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=82; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=30; r5.xlarge=55; r5a.2xlarge=57; r5a.large=64; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,RESHIV2,2764.2999999999956,0, 59, 81, 54, 69, 58, 22, 23, 0, 60, 30, 68, 40, 0, 47, 83, 0, 34, 0, 30, 55, 44, 70, 42, 0, 0, 31,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=81; c5a.xlarge=54; d3.2xlarge=69; d3.xlarge=58; i3.2xlarge=22; i3.large=23; i3.xlarge=0; m5.2xlarge=60; m5.large=30; m5.xlarge=68; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=30; r5.xlarge=55; r5a.2xlarge=44; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=31},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,RESHIV3,2763.7299999999946,0, 56, 81, 61, 65, 59, 22, 26, 0, 51, 32, 78, 41, 0, 41, 79, 0, 31, 0, 28, 58, 46, 65, 47, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=81; c5a.xlarge=61; d3.2xlarge=65; d3.xlarge=59; i3.2xlarge=22; i3.large=26; i3.xlarge=0; m5.2xlarge=51; m5.large=32; m5.xlarge=78; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=79; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=28; r5.xlarge=58; r5a.2xlarge=46; r5a.large=65; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,RESHIMAX,2762.109999999995,0, 58, 72, 62, 68, 59, 24, 30, 0, 53, 32, 77, 38, 0, 42, 84, 0, 33, 0, 30, 54, 39, 68, 44, 0, 0, 33,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=72; c5a.xlarge=62; d3.2xlarge=68; d3.xlarge=59; i3.2xlarge=24; i3.large=30; i3.xlarge=0; m5.2xlarge=53; m5.large=32; m5.xlarge=77; m5a.2xlarge=38; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=30; r5.xlarge=54; r5a.2xlarge=39; r5a.large=68; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=33},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,0,RESHIFCFS,2764.1699999999955,0, 58, 81, 65, 69, 53, 24, 29, 0, 50, 30, 69, 35, 0, 44, 85, 0, 35, 0, 29, 62, 47, 61, 44, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=81; c5a.xlarge=65; d3.2xlarge=69; d3.xlarge=53; i3.2xlarge=24; i3.large=29; i3.xlarge=0; m5.2xlarge=50; m5.large=30; m5.xlarge=69; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=85; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=29; r5.xlarge=62; r5a.2xlarge=47; r5a.large=61; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.2,40,1,MINMIN,3122.9199999999946,0, 53, 86, 46, 76, 56, 24, 26, 0, 50, 52, 71, 54, 0, 46, 76, 0, 25, 0, 24, 49, 65, 72, 49, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=86; c5a.xlarge=46; d3.2xlarge=76; d3.xlarge=56; i3.2xlarge=24; i3.large=26; i3.xlarge=0; m5.2xlarge=50; m5.large=52; m5.xlarge=71; m5a.2xlarge=54; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=76; m5zn.large=0; m5zn.xlarge=25; r5.2xlarge=0; r5.large=24; r5.xlarge=49; r5a.2xlarge=65; r5a.large=72; r5a.xlarge=49; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.2,40,1,MAXMIN,3113.0499999999956,0, 64, 75, 62, 78, 52, 24, 23, 0, 51, 42, 73, 42, 0, 47, 77, 0, 28, 0, 25, 50, 75, 70, 42, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=64; c5a.2xlarge=75; c5a.xlarge=62; d3.2xlarge=78; d3.xlarge=52; i3.2xlarge=24; i3.large=23; i3.xlarge=0; m5.2xlarge=51; m5.large=42; m5.xlarge=73; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=47; m5zn.2xlarge=77; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=25; r5.xlarge=50; r5a.2xlarge=75; r5a.large=70; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.2,40,1,MCT,3107.6999999999944,0, 57, 84, 54, 70, 56, 25, 25, 0, 48, 52, 71, 39, 0, 53, 84, 0, 28, 0, 22, 48, 68, 66, 50, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=84; c5a.xlarge=54; d3.2xlarge=70; d3.xlarge=56; i3.2xlarge=25; i3.large=25; i3.xlarge=0; m5.2xlarge=48; m5.large=52; m5.xlarge=71; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=53; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=22; r5.xlarge=48; r5a.2xlarge=68; r5a.large=66; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.2,40,1,ROUNDROBIN,3108.5199999999963,0, 49, 85, 68, 83, 54, 34, 10, 0, 35, 86, 31, 68, 0, 36, 63, 0, 16, 0, 34, 47, 60, 102, 39, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=49; c5a.2xlarge=85; c5a.xlarge=68; d3.2xlarge=83; d3.xlarge=54; i3.2xlarge=34; i3.large=10; i3.xlarge=0; m5.2xlarge=35; m5.large=86; m5.xlarge=31; m5a.2xlarge=68; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=63; m5zn.large=0; m5zn.xlarge=16; r5.2xlarge=0; r5.large=34; r5.xlarge=47; r5a.2xlarge=60; r5a.large=102; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.2,40,1,STATIC,5658.039999999991,0, 55, 83, 53, 79, 49, 20, 20, 0, 57, 59, 65, 47, 0, 43, 71, 0, 25, 0, 30, 47, 60, 81, 56, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=83; c5a.xlarge=53; d3.2xlarge=79; d3.xlarge=49; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=57; m5.large=59; m5.xlarge=65; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=71; m5zn.large=0; m5zn.xlarge=25; r5.2xlarge=0; r5.large=30; r5.xlarge=47; r5a.2xlarge=60; r5a.large=81; r5a.xlarge=56; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.2,40,1,NOML,3100.179999999993,0, 61, 80, 57, 48, 37, 21, 22, 0, 55, 55, 71, 53, 0, 56, 80, 0, 30, 0, 32, 60, 63, 69, 50, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=80; c5a.xlarge=57; d3.2xlarge=48; d3.xlarge=37; i3.2xlarge=21; i3.large=22; i3.xlarge=0; m5.2xlarge=55; m5.large=55; m5.xlarge=71; m5a.2xlarge=53; m5a.large=0; m5a.xlarge=56; m5zn.2xlarge=80; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=32; r5.xlarge=60; r5a.2xlarge=63; r5a.large=69; r5a.xlarge=50; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
