Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
eager,exponential,0.2,40,0,MINMIN,279.24999999999994,0, 57, 82, 56, 72, 53, 22, 21, 0, 52, 28, 71, 39, 0, 41, 94, 0, 32, 0, 27, 51, 62, 68, 42, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=82; c5a.xlarge=56; d3.2xlarge=72; d3.xlarge=53; i3.2xlarge=22; i3.large=21; i3.xlarge=0; m5.2xlarge=52; m5.large=28; m5.xlarge=71; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=94; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=27; r5.xlarge=51; r5a.2xlarge=62; r5a.large=68; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,MAXMIN,260.04999999999995,0, 55, 83, 57, 74, 54, 23, 20, 0, 52, 27, 74, 40, 0, 44, 94, 0, 32, 0, 28, 53, 58, 64, 40, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=54; i3.2xlarge=23; i3.large=20; i3.xlarge=0; m5.2xlarge=52; m5.large=27; m5.xlarge=74; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=94; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=28; r5.xlarge=53; r5a.2xlarge=58; r5a.large=64; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,MCT,263.3999999999999,0, 57, 83, 58, 73, 55, 22, 20, 0, 50, 28, 76, 39, 0, 42, 91, 0, 32, 0, 29, 53, 57, 66, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=73; d3.xlarge=55; i3.2xlarge=22; i3.large=20; i3.xlarge=0; m5.2xlarge=50; m5.large=28; m5.xlarge=76; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=29; r5.xlarge=53; r5a.2xlarge=57; r5a.large=66; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,ROUNDROBIN,237.65999999999988,0, 56, 83, 57, 72, 55, 21, 21, 0, 51, 28, 73, 39, 0, 40, 97, 0, 31, 0, 27, 53, 62, 65, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=55; i3.2xlarge=21; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=73; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=97; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=62; r5a.large=65; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,STATIC,403.16999999999973,0, 56, 84, 60, 76, 49, 30, 25, 0, 47, 25, 60, 37, 0, 43, 97, 0, 28, 0, 25, 47, 69, 72, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=84; c5a.xlarge=60; d3.2xlarge=76; d3.xlarge=49; i3.2xlarge=30; i3.large=25; i3.xlarge=0; m5.2xlarge=47; m5.large=25; m5.xlarge=60; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=97; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=0; r5.large=25; r5.xlarge=47; r5a.2xlarge=69; r5a.large=72; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,NOML,251.7499999999999,0, 60, 84, 58, 74, 55, 20, 20, 0, 50, 29, 73, 40, 0, 41, 89, 0, 32, 0, 28, 52, 60, 65, 42, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=84; c5a.xlarge=58; d3.2xlarge=74; d3.xlarge=55; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=50; m5.large=29; m5.xlarge=73; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=28; r5.xlarge=52; r5a.2xlarge=60; r5a.large=65; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,CUSTOMCLUSTERNOML,238.24999999999991,0, 56, 84, 57, 75, 54, 20, 20, 0, 51, 27, 74, 42, 0, 41, 94, 0, 31, 0, 29, 51, 60, 63, 43, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=84; c5a.xlarge=57; d3.2xlarge=75; d3.xlarge=54; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=27; m5.xlarge=74; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=94; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=29; r5.xlarge=51; r5a.2xlarge=60; r5a.large=63; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,TEXTDISTANCE,240.05999999999992,0, 57, 84, 57, 74, 54, 20, 22, 0, 52, 30, 72, 40, 0, 41, 91, 0, 32, 0, 27, 52, 60, 66, 40, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=84; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=54; i3.2xlarge=20; i3.large=22; i3.xlarge=0; m5.2xlarge=52; m5.large=30; m5.xlarge=72; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=60; r5a.large=66; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,CRITICALPATH,237.8399999999999,0, 57, 83, 57, 72, 56, 20, 21, 0, 51, 27, 74, 42, 0, 41, 90, 0, 35, 0, 27, 52, 59, 64, 42, 0, 0, 30,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=56; i3.2xlarge=20; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=27; m5.xlarge=74; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=59; r5a.large=64; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=30},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,CRITICALPATHREVERSE,237.93999999999994,0, 56, 82, 57, 73, 56, 19, 22, 0, 51, 28, 73, 41, 0, 41, 89, 0, 35, 0, 28, 52, 61, 67, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=82; c5a.xlarge=57; d3.2xlarge=73; d3.xlarge=56; i3.2xlarge=19; i3.large=22; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=73; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=28; r5.xlarge=52; r5a.2xlarge=61; r5a.large=67; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,RESHIV2,237.73999999999995,0, 58, 82, 58, 73, 54, 19, 21, 0, 51, 28, 74, 41, 0, 41, 92, 0, 35, 0, 27, 52, 60, 65, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=82; c5a.xlarge=58; d3.2xlarge=73; d3.xlarge=54; i3.2xlarge=19; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=74; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=92; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=60; r5a.large=65; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,RESHIV3,239.23999999999992,0, 55, 81, 60, 74, 52, 20, 23, 0, 51, 27, 71, 41, 0, 41, 93, 0, 34, 0, 27, 52, 62, 66, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=81; c5a.xlarge=60; d3.2xlarge=74; d3.xlarge=52; i3.2xlarge=20; i3.large=23; i3.xlarge=0; m5.2xlarge=51; m5.large=27; m5.xlarge=71; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=62; r5a.large=66; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,RESHIMAX,238.53999999999994,0, 58, 82, 58, 74, 55, 20, 21, 0, 52, 27, 73, 42, 0, 40, 89, 0, 34, 0, 27, 51, 62, 65, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=82; c5a.xlarge=58; d3.2xlarge=74; d3.xlarge=55; i3.2xlarge=20; i3.large=21; i3.xlarge=0; m5.2xlarge=52; m5.large=27; m5.xlarge=73; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=27; r5.xlarge=51; r5a.2xlarge=62; r5a.large=65; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,0,RESHIFCFS,238.15999999999994,0, 57, 83, 60, 71, 53, 20, 22, 0, 51, 28, 74, 41, 0, 40, 91, 0, 35, 0, 28, 51, 61, 63, 42, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=83; c5a.xlarge=60; d3.2xlarge=71; d3.xlarge=53; i3.2xlarge=20; i3.large=22; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=74; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=35; r5.2xlarge=0; r5.large=28; r5.xlarge=51; r5a.2xlarge=61; r5a.large=63; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.2,40,1,MINMIN,243.0399999999999,0, 57, 85, 57, 72, 56, 20, 20, 0, 51, 57, 72, 40, 0, 40, 93, 0, 34, 0, 27, 52, 60, 66, 41, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=85; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=56; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=57; m5.xlarge=72; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=60; r5a.large=66; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.2,40,1,MAXMIN,304.58,0, 57, 82, 57, 74, 56, 20, 20, 0, 50, 56, 75, 40, 0, 42, 90, 0, 34, 0, 27, 52, 63, 65, 40, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=82; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=56; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=50; m5.large=56; m5.xlarge=75; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=63; r5a.large=65; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.2,40,1,MCT,269.96999999999986,0, 57, 84, 57, 74, 55, 20, 21, 0, 50, 55, 73, 40, 0, 41, 91, 0, 34, 0, 27, 51, 61, 66, 43, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=84; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=55; i3.2xlarge=20; i3.large=21; i3.xlarge=0; m5.2xlarge=50; m5.large=55; m5.xlarge=73; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=27; r5.xlarge=51; r5a.2xlarge=61; r5a.large=66; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.2,40,1,ROUNDROBIN,268.67999999999995,0, 58, 83, 57, 72, 56, 20, 20, 0, 52, 62, 74, 41, 0, 40, 88, 0, 33, 0, 27, 52, 59, 66, 40, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=56; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=52; m5.large=62; m5.xlarge=74; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=27; r5.xlarge=52; r5a.2xlarge=59; r5a.large=66; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.2,40,1,STATIC,381.9999999999998,0, 55, 80, 59, 79, 48, 17, 20, 0, 55, 59, 66, 47, 0, 45, 83, 0, 30, 0, 26, 48, 61, 70, 52, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=80; c5a.xlarge=59; d3.2xlarge=79; d3.xlarge=48; i3.2xlarge=17; i3.large=20; i3.xlarge=0; m5.2xlarge=55; m5.large=59; m5.xlarge=66; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=83; m5zn.large=0; m5zn.xlarge=30; r5.2xlarge=0; r5.large=26; r5.xlarge=48; r5a.2xlarge=61; r5a.large=70; r5a.xlarge=52; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
eager,exponential,0.2,40,1,NOML,251.81999999999996,0, 60, 82, 57, 71, 55, 20, 22, 0, 51, 55, 75, 41, 0, 42, 88, 0, 33, 0, 28, 53, 62, 63, 42, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=82; c5a.xlarge=57; d3.2xlarge=71; d3.xlarge=55; i3.2xlarge=20; i3.large=22; i3.xlarge=0; m5.2xlarge=51; m5.large=55; m5.xlarge=75; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=28; r5.xlarge=53; r5a.2xlarge=62; r5a.large=63; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
