Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,normal,0.15,40,0,MINMIN,356.97,0, 46, 69, 48, 84, 50, 23, 21, 0, 51, 29, 80, 55, 0, 43, 67, 0, 29, 0, 26, 47, 75, 80, 53, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=46; c5a.2xlarge=69; c5a.xlarge=48; d3.2xlarge=84; d3.xlarge=50; i3.2xlarge=23; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=29; m5.xlarge=80; m5a.2xlarge=55; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=67; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=0; r5.large=26; r5.xlarge=47; r5a.2xlarge=75; r5a.large=80; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,MAXMIN,356.97,0, 46, 81, 58, 69, 51, 27, 20, 0, 47, 29, 76, 58, 0, 46, 59, 0, 21, 0, 30, 51, 67, 93, 53, 0, 0, 18,{c5.2xlarge=0; c5.xlarge=46; c5a.2xlarge=81; c5a.xlarge=58; d3.2xlarge=69; d3.xlarge=51; i3.2xlarge=27; i3.large=20; i3.xlarge=0; m5.2xlarge=47; m5.large=29; m5.xlarge=76; m5a.2xlarge=58; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=59; m5zn.large=0; m5zn.xlarge=21; r5.2xlarge=0; r5.large=30; r5.xlarge=51; r5a.2xlarge=67; r5a.large=93; r5a.xlarge=53; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=18},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,MCT,356.97,0, 55, 81, 53, 83, 51, 35, 27, 0, 41, 25, 65, 51, 0, 55, 79, 0, 21, 0, 26, 48, 67, 71, 42, 0, 0, 24,{c5.2xlarge=0; c5.xlarge=55; c5a.2xlarge=81; c5a.xlarge=53; d3.2xlarge=83; d3.xlarge=51; i3.2xlarge=35; i3.large=27; i3.xlarge=0; m5.2xlarge=41; m5.large=25; m5.xlarge=65; m5a.2xlarge=51; m5a.large=0; m5a.xlarge=55; m5zn.2xlarge=79; m5zn.large=0; m5zn.xlarge=21; r5.2xlarge=0; r5.large=26; r5.xlarge=48; r5a.2xlarge=67; r5a.large=71; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=24},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,STATIC,356.97,0, 43, 72, 39, 81, 59, 23, 25, 0, 58, 22, 74, 53, 0, 52, 75, 0, 19, 0, 28, 45, 73, 82, 51, 0, 0, 26,{c5.2xlarge=0; c5.xlarge=43; c5a.2xlarge=72; c5a.xlarge=39; d3.2xlarge=81; d3.xlarge=59; i3.2xlarge=23; i3.large=25; i3.xlarge=0; m5.2xlarge=58; m5.large=22; m5.xlarge=74; m5a.2xlarge=53; m5a.large=0; m5a.xlarge=52; m5zn.2xlarge=75; m5zn.large=0; m5zn.xlarge=19; r5.2xlarge=0; r5.large=28; r5.xlarge=45; r5a.2xlarge=73; r5a.large=82; r5a.xlarge=51; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=26},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,NOML,356.97,0, 82, 84, 78, 53, 40, 24, 28, 0, 49, 35, 71, 41, 0, 46, 79, 0, 43, 0, 35, 44, 42, 51, 37, 0, 0, 38,{c5.2xlarge=0; c5.xlarge=82; c5a.2xlarge=84; c5a.xlarge=78; d3.2xlarge=53; d3.xlarge=40; i3.2xlarge=24; i3.large=28; i3.xlarge=0; m5.2xlarge=49; m5.large=35; m5.xlarge=71; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=79; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=35; r5.xlarge=44; r5a.2xlarge=42; r5a.large=51; r5a.xlarge=37; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=38},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,CUSTOMCLUSTERNOML,356.97,0, 61, 95, 32, 69, 69, 36, 25, 0, 47, 25, 74, 44, 0, 37, 89, 0, 46, 0, 27, 61, 50, 36, 36, 0, 0, 41,{c5.2xlarge=0; c5.xlarge=61; c5a.2xlarge=95; c5a.xlarge=32; d3.2xlarge=69; d3.xlarge=69; i3.2xlarge=36; i3.large=25; i3.xlarge=0; m5.2xlarge=47; m5.large=25; m5.xlarge=74; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=37; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=46; r5.2xlarge=0; r5.large=27; r5.xlarge=61; r5a.2xlarge=50; r5a.large=36; r5a.xlarge=36; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=41},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,TEXTDISTANCE,356.97,0, 54, 71, 50, 64, 48, 35, 33, 0, 67, 30, 82, 44, 0, 45, 88, 0, 47, 0, 37, 48, 40, 41, 40, 0, 0, 36,{c5.2xlarge=0; c5.xlarge=54; c5a.2xlarge=71; c5a.xlarge=50; d3.2xlarge=64; d3.xlarge=48; i3.2xlarge=35; i3.large=33; i3.xlarge=0; m5.2xlarge=67; m5.large=30; m5.xlarge=82; m5a.2xlarge=44; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=47; r5.2xlarge=0; r5.large=37; r5.xlarge=48; r5a.2xlarge=40; r5a.large=41; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=36},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,CRITICALPATH,356.97,0, 75, 86, 70, 48, 60, 36, 26, 0, 40, 35, 53, 40, 0, 41, 98, 0, 40, 0, 35, 43, 45, 54, 30, 0, 0, 45,{c5.2xlarge=0; c5.xlarge=75; c5a.2xlarge=86; c5a.xlarge=70; d3.2xlarge=48; d3.xlarge=60; i3.2xlarge=36; i3.large=26; i3.xlarge=0; m5.2xlarge=40; m5.large=35; m5.xlarge=53; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=98; m5zn.large=0; m5zn.xlarge=40; r5.2xlarge=0; r5.large=35; r5.xlarge=43; r5a.2xlarge=45; r5a.large=54; r5a.xlarge=30; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=45},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,CRITICALPATHREVERSE,356.97,0, 75, 99, 71, 50, 71, 23, 27, 0, 37, 35, 66, 34, 0, 38, 93, 0, 44, 0, 36, 43, 39, 37, 35, 0, 0, 47,{c5.2xlarge=0; c5.xlarge=75; c5a.2xlarge=99; c5a.xlarge=71; d3.2xlarge=50; d3.xlarge=71; i3.2xlarge=23; i3.large=27; i3.xlarge=0; m5.2xlarge=37; m5.large=35; m5.xlarge=66; m5a.2xlarge=34; m5a.large=0; m5a.xlarge=38; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=44; r5.2xlarge=0; r5.large=36; r5.xlarge=43; r5a.2xlarge=39; r5a.large=37; r5a.xlarge=35; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=47},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,RESHIV2,356.97,0, 75, 75, 73, 53, 61, 26, 34, 0, 42, 37, 56, 30, 0, 38, 91, 0, 42, 0, 35, 52, 41, 43, 51, 0, 0, 45,{c5.2xlarge=0; c5.xlarge=75; c5a.2xlarge=75; c5a.xlarge=73; d3.2xlarge=53; d3.xlarge=61; i3.2xlarge=26; i3.large=34; i3.xlarge=0; m5.2xlarge=42; m5.large=37; m5.xlarge=56; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=38; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=42; r5.2xlarge=0; r5.large=35; r5.xlarge=52; r5a.2xlarge=41; r5a.large=43; r5a.xlarge=51; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=45},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,RESHIV3,356.97,0, 74, 85, 72, 63, 63, 25, 28, 0, 38, 35, 70, 35, 0, 31, 102, 0, 42, 0, 35, 40, 34, 46, 39, 0, 0, 43,{c5.2xlarge=0; c5.xlarge=74; c5a.2xlarge=85; c5a.xlarge=72; d3.2xlarge=63; d3.xlarge=63; i3.2xlarge=25; i3.large=28; i3.xlarge=0; m5.2xlarge=38; m5.large=35; m5.xlarge=70; m5a.2xlarge=35; m5a.large=0; m5a.xlarge=31; m5zn.2xlarge=102; m5zn.large=0; m5zn.xlarge=42; r5.2xlarge=0; r5.large=35; r5.xlarge=40; r5a.2xlarge=34; r5a.large=46; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=43},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,RESHIMAX,356.97,0, 66, 86, 82, 61, 68, 22, 24, 0, 44, 38, 62, 30, 0, 39, 81, 0, 39, 0, 36, 50, 51, 45, 31, 0, 0, 45,{c5.2xlarge=0; c5.xlarge=66; c5a.2xlarge=86; c5a.xlarge=82; d3.2xlarge=61; d3.xlarge=68; i3.2xlarge=22; i3.large=24; i3.xlarge=0; m5.2xlarge=44; m5.large=38; m5.xlarge=62; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=39; m5zn.2xlarge=81; m5zn.large=0; m5zn.xlarge=39; r5.2xlarge=0; r5.large=36; r5.xlarge=50; r5a.2xlarge=51; r5a.large=45; r5a.xlarge=31; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=45},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,0,RESHIFCFS,356.97,0, 69, 86, 63, 55, 65, 29, 31, 0, 36, 36, 60, 37, 0, 34, 88, 0, 43, 0, 34, 48, 48, 49, 43, 0, 0, 46,{c5.2xlarge=0; c5.xlarge=69; c5a.2xlarge=86; c5a.xlarge=63; d3.2xlarge=55; d3.xlarge=65; i3.2xlarge=29; i3.large=31; i3.xlarge=0; m5.2xlarge=36; m5.large=36; m5.xlarge=60; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=34; m5zn.2xlarge=88; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=34; r5.xlarge=48; r5a.2xlarge=48; r5a.large=49; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=46},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,normal,0.15,40,1,MINMIN,356.97,0, 44, 71, 43, 75, 50, 23, 17, 0, 52, 58, 82, 55, 0, 49, 70, 0, 27, 0, 32, 50, 75, 79, 48, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=44; c5a.2xlarge=71; c5a.xlarge=43; d3.2xlarge=75; d3.xlarge=50; i3.2xlarge=23; i3.large=17; i3.xlarge=0; m5.2xlarge=52; m5.large=58; m5.xlarge=82; m5a.2xlarge=55; m5a.large=0; m5a.xlarge=49; m5zn.2xlarge=70; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=0; r5.large=32; r5.xlarge=50; r5a.2xlarge=75; r5a.large=79; r5a.xlarge=48; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,1,MAXMIN,356.97,0, 53, 90, 63, 86, 49, 25, 21, 0, 48, 50, 72, 49, 0, 46, 62, 0, 18, 0, 25, 52, 72, 67, 52, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=53; c5a.2xlarge=90; c5a.xlarge=63; d3.2xlarge=86; d3.xlarge=49; i3.2xlarge=25; i3.large=21; i3.xlarge=0; m5.2xlarge=48; m5.large=50; m5.xlarge=72; m5a.2xlarge=49; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=18; r5.2xlarge=0; r5.large=25; r5.xlarge=52; r5a.2xlarge=72; r5a.large=67; r5a.xlarge=52; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,1,MCT,356.97,0, 50, 74, 43, 73, 49, 27, 20, 0, 49, 60, 57, 63, 0, 44, 87, 0, 19, 0, 25, 57, 69, 82, 52, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=74; c5a.xlarge=43; d3.2xlarge=73; d3.xlarge=49; i3.2xlarge=27; i3.large=20; i3.xlarge=0; m5.2xlarge=49; m5.large=60; m5.xlarge=57; m5a.2xlarge=63; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=87; m5zn.large=0; m5zn.xlarge=19; r5.2xlarge=0; r5.large=25; r5.xlarge=57; r5a.2xlarge=69; r5a.large=82; r5a.xlarge=52; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,1,ROUNDROBIN,356.97,0, 58, 63, 96, 66, 61, 14, 0, 0, 61, 93, 0, 109, 0, 29, 62, 0, 0, 0, 8, 61, 44, 154, 21, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=63; c5a.xlarge=96; d3.2xlarge=66; d3.xlarge=61; i3.2xlarge=14; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=93; m5.xlarge=0; m5a.2xlarge=109; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=61; r5a.2xlarge=44; r5a.large=154; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,1,STATIC,356.97,0, 50, 83, 53, 84, 54, 25, 23, 0, 46, 58, 72, 42, 0, 52, 74, 0, 19, 0, 24, 48, 78, 69, 46, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=83; c5a.xlarge=53; d3.2xlarge=84; d3.xlarge=54; i3.2xlarge=25; i3.large=23; i3.xlarge=0; m5.2xlarge=46; m5.large=58; m5.xlarge=72; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=52; m5zn.2xlarge=74; m5zn.large=0; m5zn.xlarge=19; r5.2xlarge=0; r5.large=24; r5.xlarge=48; r5a.2xlarge=78; r5a.large=69; r5a.xlarge=46; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,normal,0.15,40,1,NOML,356.97,0, 75, 94, 84, 36, 33, 29, 24, 0, 55, 57, 76, 45, 0, 45, 74, 0, 34, 0, 32, 50, 57, 53, 47, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=75; c5a.2xlarge=94; c5a.xlarge=84; d3.2xlarge=36; d3.xlarge=33; i3.2xlarge=29; i3.large=24; i3.xlarge=0; m5.2xlarge=55; m5.large=57; m5.xlarge=76; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=74; m5zn.large=0; m5zn.xlarge=34; r5.2xlarge=0; r5.large=32; r5.xlarge=50; r5a.2xlarge=57; r5a.large=53; r5a.xlarge=47; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
