Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.0,40,0,MINMIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 63, 14, 1, 113, 0, 40, 84, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=63; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,MAXMIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 84, 0, 0, 0, 10, 61, 48, 162, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=162; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,MCT,356.97,0, 60, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 84, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=84; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,ROUNDROBIN,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,STATIC,356.97,0, 58, 66, 102, 69, 61, 21, 0, 0, 61, 14, 1, 113, 0, 40, 86, 0, 0, 0, 10, 61, 48, 160, 29, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=66; c5a.xlarge=102; d3.2xlarge=69; d3.xlarge=61; i3.2xlarge=21; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=14; m5.xlarge=1; m5a.2xlarge=113; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=86; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=10; r5.xlarge=61; r5a.2xlarge=48; r5a.large=160; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,NOML,356.97,0, 75, 94, 62, 45, 34, 29, 23, 0, 51, 39, 76, 34, 0, 48, 92, 0, 45, 0, 29, 51, 48, 51, 39, 0, 0, 35,{c5.2xlarge=0; c5.xlarge=75; c5a.2xlarge=94; c5a.xlarge=62; d3.2xlarge=45; d3.xlarge=34; i3.2xlarge=29; i3.large=23; i3.xlarge=0; m5.2xlarge=51; m5.large=39; m5.xlarge=76; m5a.2xlarge=34; m5a.large=0; m5a.xlarge=48; m5zn.2xlarge=92; m5zn.large=0; m5zn.xlarge=45; r5.2xlarge=0; r5.large=29; r5.xlarge=51; r5a.2xlarge=48; r5a.large=51; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=35},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CUSTOMCLUSTERNOML,356.97,0, 68, 97, 39, 49, 68, 33, 26, 0, 52, 28, 75, 40, 0, 29, 89, 0, 40, 0, 27, 55, 48, 48, 45, 0, 0, 44,{c5.2xlarge=0; c5.xlarge=68; c5a.2xlarge=97; c5a.xlarge=39; d3.2xlarge=49; d3.xlarge=68; i3.2xlarge=33; i3.large=26; i3.xlarge=0; m5.2xlarge=52; m5.large=28; m5.xlarge=75; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=40; r5.2xlarge=0; r5.large=27; r5.xlarge=55; r5a.2xlarge=48; r5a.large=48; r5a.xlarge=45; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=44},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,TEXTDISTANCE,356.97,0, 50, 77, 50, 54, 55, 31, 30, 0, 72, 36, 81, 47, 0, 46, 93, 0, 43, 0, 36, 49, 44, 40, 29, 0, 0, 37,{c5.2xlarge=0; c5.xlarge=50; c5a.2xlarge=77; c5a.xlarge=50; d3.2xlarge=54; d3.xlarge=55; i3.2xlarge=31; i3.large=30; i3.xlarge=0; m5.2xlarge=72; m5.large=36; m5.xlarge=81; m5a.2xlarge=47; m5a.large=0; m5a.xlarge=46; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=36; r5.xlarge=49; r5a.2xlarge=44; r5a.large=40; r5a.xlarge=29; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=37},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CRITICALPATH,356.97,0, 62, 92, 80, 44, 62, 29, 26, 0, 43, 36, 60, 45, 0, 26, 93, 0, 47, 0, 39, 51, 46, 39, 37, 0, 0, 43,{c5.2xlarge=0; c5.xlarge=62; c5a.2xlarge=92; c5a.xlarge=80; d3.2xlarge=44; d3.xlarge=62; i3.2xlarge=29; i3.large=26; i3.xlarge=0; m5.2xlarge=43; m5.large=36; m5.xlarge=60; m5a.2xlarge=45; m5a.large=0; m5a.xlarge=26; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=47; r5.2xlarge=0; r5.large=39; r5.xlarge=51; r5a.2xlarge=46; r5a.large=39; r5a.xlarge=37; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=43},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,CRITICALPATHREVERSE,356.97,0, 76, 86, 74, 57, 60, 32, 27, 0, 36, 33, 57, 27, 0, 45, 100, 0, 47, 0, 33, 55, 35, 46, 34, 0, 0, 40,{c5.2xlarge=0; c5.xlarge=76; c5a.2xlarge=86; c5a.xlarge=74; d3.2xlarge=57; d3.xlarge=60; i3.2xlarge=32; i3.large=27; i3.xlarge=0; m5.2xlarge=36; m5.large=33; m5.xlarge=57; m5a.2xlarge=27; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=100; m5zn.large=0; m5zn.xlarge=47; r5.2xlarge=0; r5.large=33; r5.xlarge=55; r5a.2xlarge=35; r5a.large=46; r5a.xlarge=34; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=40},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,RESHIV2,356.97,0, 67, 95, 74, 51, 71, 30, 25, 0, 41, 34, 58, 33, 0, 43, 79, 0, 38, 0, 43, 52, 38, 43, 43, 0, 0, 42,{c5.2xlarge=0; c5.xlarge=67; c5a.2xlarge=95; c5a.xlarge=74; d3.2xlarge=51; d3.xlarge=71; i3.2xlarge=30; i3.large=25; i3.xlarge=0; m5.2xlarge=41; m5.large=34; m5.xlarge=58; m5a.2xlarge=33; m5a.large=0; m5a.xlarge=43; m5zn.2xlarge=79; m5zn.large=0; m5zn.xlarge=38; r5.2xlarge=0; r5.large=43; r5.xlarge=52; r5a.2xlarge=38; r5a.large=43; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=42},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,RESHIV3,356.97,0, 74, 87, 74, 47, 69, 28, 25, 0, 44, 29, 71, 41, 0, 41, 91, 0, 43, 0, 39, 45, 42, 39, 34, 0, 0, 37,{c5.2xlarge=0; c5.xlarge=74; c5a.2xlarge=87; c5a.xlarge=74; d3.2xlarge=47; d3.xlarge=69; i3.2xlarge=28; i3.large=25; i3.xlarge=0; m5.2xlarge=44; m5.large=29; m5.xlarge=71; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=39; r5.xlarge=45; r5a.2xlarge=42; r5a.large=39; r5a.xlarge=34; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=37},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,RESHIMAX,356.97,0, 65, 88, 74, 48, 70, 34, 25, 0, 47, 33, 63, 30, 0, 44, 90, 0, 45, 0, 37, 46, 33, 39, 44, 0, 0, 45,{c5.2xlarge=0; c5.xlarge=65; c5a.2xlarge=88; c5a.xlarge=74; d3.2xlarge=48; d3.xlarge=70; i3.2xlarge=34; i3.large=25; i3.xlarge=0; m5.2xlarge=47; m5.large=33; m5.xlarge=63; m5a.2xlarge=30; m5a.large=0; m5a.xlarge=44; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=45; r5.2xlarge=0; r5.large=37; r5.xlarge=46; r5a.2xlarge=33; r5a.large=39; r5a.xlarge=44; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=45},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,0,RESHIFCFS,356.97,0, 63, 84, 80, 56, 68, 21, 20, 0, 34, 33, 62, 37, 0, 36, 96, 0, 44, 0, 38, 52, 47, 48, 40, 0, 0, 41,{c5.2xlarge=0; c5.xlarge=63; c5a.2xlarge=84; c5a.xlarge=80; d3.2xlarge=56; d3.xlarge=68; i3.2xlarge=21; i3.large=20; i3.xlarge=0; m5.2xlarge=34; m5.large=33; m5.xlarge=62; m5a.2xlarge=37; m5a.large=0; m5a.xlarge=36; m5zn.2xlarge=96; m5zn.large=0; m5zn.xlarge=44; r5.2xlarge=0; r5.large=38; r5.xlarge=52; r5a.2xlarge=47; r5a.large=48; r5a.xlarge=40; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=41},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.0,40,1,MINMIN,356.97,0, 58, 63, 96, 66, 63, 14, 0, 0, 61, 91, 0, 109, 0, 29, 62, 0, 0, 0, 8, 61, 44, 154, 21, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=63; c5a.xlarge=96; d3.2xlarge=66; d3.xlarge=63; i3.2xlarge=14; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=91; m5.xlarge=0; m5a.2xlarge=109; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=61; r5a.2xlarge=44; r5a.large=154; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.0,40,1,MAXMIN,356.97,0, 58, 63, 98, 66, 61, 14, 0, 0, 61, 91, 0, 109, 0, 29, 62, 0, 0, 0, 8, 61, 44, 154, 21, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=63; c5a.xlarge=98; d3.2xlarge=66; d3.xlarge=61; i3.2xlarge=14; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=91; m5.xlarge=0; m5a.2xlarge=109; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=61; r5a.2xlarge=44; r5a.large=154; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.0,40,1,MCT,356.97,0, 58, 63, 96, 66, 61, 14, 0, 0, 61, 91, 0, 109, 0, 29, 62, 0, 0, 0, 8, 63, 44, 154, 21, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=63; c5a.xlarge=96; d3.2xlarge=66; d3.xlarge=61; i3.2xlarge=14; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=91; m5.xlarge=0; m5a.2xlarge=109; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=63; r5a.2xlarge=44; r5a.large=154; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.0,40,1,ROUNDROBIN,356.97,0, 58, 63, 96, 66, 61, 14, 0, 0, 61, 93, 0, 109, 0, 29, 62, 0, 0, 0, 8, 61, 44, 154, 21, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=63; c5a.xlarge=96; d3.2xlarge=66; d3.xlarge=61; i3.2xlarge=14; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=93; m5.xlarge=0; m5a.2xlarge=109; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=61; r5a.2xlarge=44; r5a.large=154; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.0,40,1,STATIC,356.97,0, 58, 63, 96, 66, 61, 14, 0, 0, 61, 93, 0, 109, 0, 29, 62, 0, 0, 0, 8, 61, 44, 154, 21, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=63; c5a.xlarge=96; d3.2xlarge=66; d3.xlarge=61; i3.2xlarge=14; i3.large=0; i3.xlarge=0; m5.2xlarge=61; m5.large=93; m5.xlarge=0; m5a.2xlarge=109; m5a.large=0; m5a.xlarge=29; m5zn.2xlarge=62; m5zn.large=0; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=61; r5a.2xlarge=44; r5a.large=154; r5a.xlarge=21; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
viralrecon,exponential,0.0,40,1,NOML,356.97,0, 79, 86, 83, 42, 33, 26, 35, 0, 48, 59, 76, 28, 0, 45, 89, 0, 43, 0, 32, 49, 46, 58, 43, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=79; c5a.2xlarge=86; c5a.xlarge=83; d3.2xlarge=42; d3.xlarge=33; i3.2xlarge=26; i3.large=35; i3.xlarge=0; m5.2xlarge=48; m5.large=59; m5.xlarge=76; m5a.2xlarge=28; m5a.large=0; m5a.xlarge=45; m5zn.2xlarge=89; m5zn.large=0; m5zn.xlarge=43; r5.2xlarge=0; r5.large=32; r5.xlarge=49; r5a.2xlarge=46; r5a.large=58; r5a.xlarge=43; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
