Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
eager,exponential,0.0,40,0,MINMIN,237.17999999999992,0, 56, 83, 59, 75, 54, 21, 20, 0, 51, 28, 75, 40, 0, 41, 93, 0, 32, 0, 27, 53, 58, 65, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=83; c5a.xlarge=59; d3.2xlarge=75; d3.xlarge=54; i3.2xlarge=21; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=75; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=58; r5a.large=65; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,MAXMIN,237.00999999999993,0, 58, 81, 59, 72, 55, 21, 20, 0, 52, 28, 72, 40, 0, 40, 93, 0, 33, 0, 28, 54, 60, 64, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=81; c5a.xlarge=59; d3.2xlarge=72; d3.xlarge=55; i3.2xlarge=21; i3.large=20; i3.xlarge=0; m5.2xlarge=52; m5.large=28; m5.xlarge=72; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=28; r5.xlarge=54; r5a.2xlarge=60; r5a.large=64; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,MCT,237.17999999999992,0, 58, 83, 59, 73, 54, 21, 20, 0, 51, 28, 75, 40, 0, 41, 93, 0, 32, 0, 27, 53, 58, 65, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=83; c5a.xlarge=59; d3.2xlarge=73; d3.xlarge=54; i3.2xlarge=21; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=75; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=32; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=58; r5a.large=65; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,ROUNDROBIN,237.65999999999988,0, 56, 83, 57, 72, 55, 21, 21, 0, 51, 28, 73, 39, 0, 40, 97, 0, 31, 0, 27, 53, 62, 65, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=55; i3.2xlarge=21; i3.large=21; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=73; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=97; m5zn.large=0; m5zn.xlarge=31; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=62; r5a.large=65; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,STATIC,235.85999999999981,0, 60, 87, 64, 72, 53, 20, 17, 0, 44, 26, 67, 36, 0, 38, 118, 0, 39, 0, 25, 48, 53, 60, 39, 0, 0, 34,{c5.2xlarge=0; c5.xlarge=60; c5a.2xlarge=87; c5a.xlarge=64; d3.2xlarge=72; d3.xlarge=53; i3.2xlarge=20; i3.large=17; i3.xlarge=0; m5.2xlarge=44; m5.large=26; m5.xlarge=67; m5a.2xlarge=36; m5a.large=0; m5a.xlarge=38; m5zn.2xlarge=118; m5zn.large=0; m5zn.xlarge=39; r5.2xlarge=0; r5.large=25; r5.xlarge=48; r5a.2xlarge=53; r5a.large=60; r5a.xlarge=39; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=34},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,NOML,252.37999999999982,0, 59, 83, 58, 74, 53, 21, 21, 0, 50, 27, 73, 40, 0, 42, 90, 0, 33, 0, 29, 51, 62, 64, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=59; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=74; d3.xlarge=53; i3.2xlarge=21; i3.large=21; i3.xlarge=0; m5.2xlarge=50; m5.large=27; m5.xlarge=73; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=90; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=29; r5.xlarge=51; r5a.2xlarge=62; r5a.large=64; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,CUSTOMCLUSTERNOML,238.63999999999984,0, 56, 83, 57, 74, 54, 20, 22, 0, 51, 28, 74, 42, 0, 42, 92, 0, 33, 0, 27, 51, 61, 64, 41, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=83; c5a.xlarge=57; d3.2xlarge=74; d3.xlarge=54; i3.2xlarge=20; i3.large=22; i3.xlarge=0; m5.2xlarge=51; m5.large=28; m5.xlarge=74; m5a.2xlarge=42; m5a.large=0; m5a.xlarge=42; m5zn.2xlarge=92; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=27; r5.xlarge=51; r5a.2xlarge=61; r5a.large=64; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,TEXTDISTANCE,240.1699999999999,0, 56, 83, 58, 71, 56, 23, 20, 0, 53, 30, 74, 39, 0, 40, 91, 0, 33, 0, 28, 52, 59, 64, 42, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=56; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=71; d3.xlarge=56; i3.2xlarge=23; i3.large=20; i3.xlarge=0; m5.2xlarge=53; m5.large=30; m5.xlarge=74; m5a.2xlarge=39; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=28; r5.xlarge=52; r5a.2xlarge=59; r5a.large=64; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,CRITICALPATH,238.13999999999996,0, 58, 83, 58, 73, 54, 19, 21, 0, 53, 28, 72, 40, 0, 41, 93, 0, 36, 0, 27, 51, 59, 64, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=58; c5a.2xlarge=83; c5a.xlarge=58; d3.2xlarge=73; d3.xlarge=54; i3.2xlarge=19; i3.large=21; i3.xlarge=0; m5.2xlarge=53; m5.large=28; m5.xlarge=72; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=36; r5.2xlarge=0; r5.large=27; r5.xlarge=51; r5a.2xlarge=59; r5a.large=64; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,CRITICALPATHREVERSE,238.19999999999993,0, 57, 84, 59, 73, 55, 20, 20, 0, 50, 27, 73, 40, 0, 41, 91, 0, 33, 0, 28, 52, 61, 66, 41, 0, 0, 29,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=84; c5a.xlarge=59; d3.2xlarge=73; d3.xlarge=55; i3.2xlarge=20; i3.large=20; i3.xlarge=0; m5.2xlarge=50; m5.large=27; m5.xlarge=73; m5a.2xlarge=40; m5a.large=0; m5a.xlarge=41; m5zn.2xlarge=91; m5zn.large=0; m5zn.xlarge=33; r5.2xlarge=0; r5.large=28; r5.xlarge=52; r5a.2xlarge=61; r5a.large=66; r5a.xlarge=41; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=29},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
eager,exponential,0.0,40,0,RESHIV2,238.91999999999993,0, 57, 81, 57, 72, 55, 19, 20, 0, 51, 29, 73, 41, 0, 40, 93, 0, 36, 0, 27, 53, 60, 66, 42, 0, 0, 28,{c5.2xlarge=0; c5.xlarge=57; c5a.2xlarge=81; c5a.xlarge=57; d3.2xlarge=72; d3.xlarge=55; i3.2xlarge=19; i3.large=20; i3.xlarge=0; m5.2xlarge=51; m5.large=29; m5.xlarge=73; m5a.2xlarge=41; m5a.large=0; m5a.xlarge=40; m5zn.2xlarge=93; m5zn.large=0; m5zn.xlarge=36; r5.2xlarge=0; r5.large=27; r5.xlarge=53; r5a.2xlarge=60; r5a.large=66; r5a.xlarge=42; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=28},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
